SourceStimuliName,SourceStimuliNameArray,Brow Furrow,Cheek Raise,Inner Brow Raise,Lip Suck,Pitch
Happy,2,0.751989961,9.02E-06,0.384836912,12.00790787,-12.25613785
Happy,2,0.387636513,1.42E-05,0.435094208,7.580543518,-13.08184624
Happy,2,0.299396873,3.57E-05,0.376766503,6.392175198,-13.83405972
Happy,2,0.307247937,5.62E-05,0.333128512,7.258186817,-13.38040066
Happy,2,0.322942078,6.69E-05,0.356247872,8.364370346,-12.62557316
Happy,2,0.231994197,0.000103788,0.37478146,9.484660149,-13.28110504
Happy,2,0.23684743,0.000123688,0.376802444,8.605202675,-12.9199295
Happy,2,0.216773838,0.000112509,0.313390613,9.054873466,-13.02522469
Happy,2,0.251704365,0.000105882,0.274943739,7.705212593,-13.14638042
Happy,2,0.266578287,0.000117182,0.246954829,7.851360798,-12.22697544
Happy,2,0.26100719,0.000105486,0.220784053,7.516848087,-12.10183716
Happy,2,0.268823594,9.20E-05,0.22897251,7.480409622,-11.87313938
Happy,2,0.283247024,0.000105065,0.228061691,6.804403305,-12.44998932
Happy,2,0.29781571,0.000115273,0.248040617,6.200249195,-12.60423946
Happy,2,0.307011157,0.000119638,0.235549986,5.619456768,-12.30672455
Happy,2,0.297430009,0.000122092,0.239771396,5.416393757,-13.26621723
Happy,2,0.294876069,0.000122631,0.223745584,5.003195763,-13.27470684
Happy,2,0.27788049,0.000135296,0.227754191,5.164947987,-13.58228111
Happy,2,0.256045938,0.000163801,0.201161966,5.478671551,-13.27330685
Happy,2,0.235053211,0.000172343,0.21472241,5.376380444,-13.0691576
Happy,2,0.225278169,0.000175164,0.212391585,4.800192833,-13.3720417
Happy,2,0.209234044,0.000192668,0.196848735,4.525472164,-12.93673515
Happy,2,0.215085819,0.000209958,0.204607829,4.589137554,-13.26674652
Happy,2,0.246009871,0.000216482,0.222541884,4.377723217,-13.47960567
Happy,2,0.255010068,0.000236388,0.22561948,4.46856451,-12.38540936
Happy,2,0.254403055,0.000247292,0.24224022,4.102389336,-12.52680206
Happy,2,0.22280018,0.000258329,0.254304796,3.714681387,-13.00266457
Happy,2,0.20865421,0.000272725,0.23581098,3.445485115,-13.05372429
Happy,2,0.231445894,0.000230017,0.233725443,3.588137388,-13.43278885
Happy,2,0.242914662,0.000208229,0.217084512,3.608246803,-13.05125141
Happy,2,0.26669088,0.000176798,0.215107724,3.910172224,-14.15224934
Happy,2,0.244555652,0.000203502,0.206078827,3.900054932,-13.11013794
Happy,2,0.27145052,0.000217347,0.187710091,3.692324877,-13.05712891
Happy,2,0.273538858,0.000198314,0.172703922,3.494900465,-13.77098942
Happy,2,0.284558207,0.000203556,0.192080542,3.461692572,-13.46225548
Happy,2,0.279634386,0.00021834,0.176487222,3.05997324,-13.60818768
Happy,2,0.288863033,0.000203999,0.160452008,2.791717768,-13.11986446
Happy,2,0.281504273,0.000196927,0.158718273,2.504515648,-13.75110531
Happy,2,0.289017469,0.000205385,0.135199353,2.182157278,-13.65067196
Happy,2,0.277272522,0.000210099,0.130279064,1.916833639,-13.298069
Happy,2,0.287831515,0.000211945,0.136235461,1.738245606,-13.63228226
Happy,2,0.294609964,0.000228308,0.138258681,1.64207828,-14.1709404
Happy,2,0.299281895,0.000268662,0.131982833,1.753780723,-13.56675911
Happy,2,0.308532983,0.000302168,0.144804224,1.927785397,-14.33520985
Happy,2,0.310936779,0.00036975,0.132623315,2.240113974,-15.08429527
Happy,2,0.298686326,0.000493369,0.12443608,2.606235504,-13.21666241
Happy,2,0.27644366,0.000625154,0.124133624,2.813617706,-12.90390587
Happy,2,0.264503717,0.000746903,0.125195399,3.698147774,-13.39223766
Happy,2,0.259130359,0.000821279,0.134183139,4.790459633,-13.26709461
Happy,2,0.261011511,0.000898415,0.145519316,4.360117435,-13.24358463
Happy,2,0.261914313,0.001114794,0.153772101,3.187944651,-13.62363625
Happy,2,0.242810935,0.001457622,0.168322861,2.949590921,-13.58262348
Happy,2,0.234557033,0.001901182,0.193974435,2.322271824,-13.1422863
Happy,2,0.192659169,0.002624187,0.216171905,1.809836149,-13.96505737
Happy,2,0.143247858,0.004009752,0.207086816,1.298846841,-14.15055466
Happy,2,0.119643144,0.006357904,0.210134819,0.951633573,-14.34204292
Happy,2,0.106121644,0.010307479,0.199833632,0.758827925,-14.95851898
Happy,2,0.105561078,0.017382683,0.201101482,0.632906914,-15.50006771
Happy,2,0.096985415,0.029179789,0.218363896,0.543406188,-15.83398151
Happy,2,0.081665173,0.05951906,0.231997967,0.363170177,-14.91403866
Happy,2,0.068168417,0.118407018,0.257823199,0.228064075,-16.16775322
Happy,2,0.053479917,0.253757715,0.273699284,0.165319189,-16.48905182
Happy,2,0.04708473,0.445074141,0.295754284,0.115714133,-16.21841431
Happy,2,0.036857504,0.809643328,0.310264975,0.069448344,-16.00702667
Happy,2,0.033077117,1.583913088,0.344167888,0.040459875,-15.63067245
Happy,2,0.028146729,2.791312218,0.33839795,0.035922293,-15.72330189
Happy,2,0.025757285,4.740984917,0.341768533,0.03875903,-16.09612274
Happy,2,0.02487321,8.389870644,0.328789234,0.037765414,-16.41445351
Happy,2,0.024840957,14.37381172,0.32765609,0.041451342,-16.907938
Happy,2,0.024425471,23.04605675,0.31608066,0.0476567,-15.53997421
Happy,2,0.023716673,35.3662529,0.393649548,0.051743966,-15.91393471
Happy,2,0.021673761,48.63337708,0.449038804,0.065969788,-15.90902519
Happy,2,0.019516006,62.27190018,0.494706333,0.0686666,-16.17246819
Happy,2,0.018754564,72.81509399,0.525844276,0.07071536,-16.03787613
Happy,2,0.016866047,80.87702179,0.55771637,0.073205046,-15.87034798
Happy,2,0.016225036,86.08908844,0.585451066,0.083307154,-15.39141941
Happy,2,0.015300801,89.13243866,0.620830536,0.085706443,-16.51829147
Happy,2,0.016064443,91.91294861,0.71169734,0.086063489,-15.81681728
Happy,2,0.015644144,94.57775116,0.774796665,0.095695376,-16.54389191
Happy,2,0.014562979,96.47341919,0.865297616,0.097784594,-16.78443336
Happy,2,0.013737455,97.53372955,0.918623507,0.105597138,-16.07402039
Happy,2,0.013346684,98.17542267,1.010966063,0.116925851,-15.0083704
Happy,2,0.012134433,98.65270233,1.030457497,0.102976181,-14.0609808
Happy,2,0.01092592,98.87760925,1.056844354,0.095198952,-13.70541191
Happy,2,0.011107708,98.97863007,1.109813929,0.0913371,-12.98006725
Happy,2,0.012073228,98.99853516,1.379724622,0.082925446,-13.02284718
Happy,2,0.012394718,98.90557098,1.581361175,0.084004961,-12.97427464
Happy,2,0.013087496,98.81574249,1.864602447,0.076266088,-12.81747341
Happy,2,0.01332438,98.64723969,2.389101982,0.072340354,-12.99022579
Happy,2,0.01418197,98.40895081,2.982179642,0.063568391,-12.35068226
Happy,2,0.013967856,98.14955902,3.237276077,0.053799409,-13.58455849
Happy,2,0.014940597,97.78495789,3.676746607,0.045202941,-13.08645153
Happy,2,0.015789932,97.34220886,4.37884903,0.042002451,-12.76824284
Happy,2,0.016803123,96.95063019,5.093390465,0.036940135,-13.2278347
Happy,2,0.017753763,96.37259674,5.94459486,0.031482551,-13.46389389
Happy,2,0.018528458,95.8502655,6.212458611,0.029776223,-12.89328861
Happy,2,0.019034073,95.17683411,7.128654957,0.023416797,-12.34393883
Happy,2,0.018648075,94.45288086,8.671386719,0.022724327,-12.96681786
Happy,2,0.017852288,93.71446228,10.50205994,0.022686917,-11.96574688
Happy,2,0.016011028,92.8033371,11.09354115,0.020938858,-12.65860462
Happy,2,0.014079661,92.11102295,12.1852932,0.021758258,-12.28290844
Happy,2,0.012928285,91.30810547,12.1440382,0.02170687,-12.51983929
Happy,2,0.011425175,90.42895508,11.12013721,0.01935067,-12.07918358
Happy,2,0.010363202,89.52308655,10.29891014,0.018190917,-11.94146061
Happy,2,0.008537695,88.63316345,9.501791954,0.019804331,-11.96803379
Happy,2,0.007777663,87.44288635,8.771535873,0.020168109,-12.27160549
Happy,2,0.006903449,86.0402298,9.485519409,0.019625263,-12.3354826
Happy,2,0.005965333,84.99246216,8.884507179,0.022327071,-12.10381126
Happy,2,0.005360214,84.31973267,8.793644905,0.023247885,-12.13202953
Happy,2,0.004855708,83.25962067,8.44290638,0.025251731,-11.841506
Happy,2,0.004655069,82.05464935,7.554187775,0.02355833,-12.46025562
Happy,2,0.004136501,81.41593933,8.13630867,0.02375089,-12.6328249
Happy,2,0.003800078,80.80024719,7.967366219,0.026934044,-11.95760918
Happy,2,0.004121165,79.57831573,7.305198669,0.026655285,-12.66432858
Happy,2,0.004135219,79.49989319,6.773942947,0.027885154,-12.23906803
Happy,2,0.004177714,79.85666656,7.948055744,0.027040234,-11.68662167
Happy,2,0.004019334,80.71570587,7.929066658,0.027140602,-12.15248108
Happy,2,0.00404229,81.41614532,7.821851254,0.027047658,-13.18908119
Happy,2,0.003741565,82.07829285,8.369815826,0.031419825,-12.06908226
Happy,2,0.003874156,82.42563629,8.02163887,0.029141841,-12.76461506
Happy,2,0.003817024,83.91123962,8.273200035,0.029823668,-12.4295311
Happy,2,0.003883074,84.94837952,8.768112183,0.034718294,-12.83171177
Happy,2,0.004030235,85.79779053,8.359081268,0.039982669,-12.61438656
Happy,2,0.004017089,87.02819824,8.798715591,0.036117852,-12.11398697
Happy,2,0.003969571,87.58570862,8.362391472,0.032979283,-12.34946823
Happy,2,0.003898888,88.28623962,7.540633678,0.028809922,-13.71611977
Happy,2,0.003721981,88.84706879,8.607036591,0.034442019,-12.23533058
Happy,2,0.003650972,89.57246399,8.90719986,0.037485458,-12.33685875
Happy,2,0.003487943,90.1342392,7.988098621,0.039479557,-11.86805248
Happy,2,0.003263759,90.83036041,7.210633278,0.038922578,-13.19007206
Happy,2,0.003462458,91.43528748,7.559522152,0.037837088,-13.1231699
Happy,2,0.003352171,92.10371399,7.815695763,0.048108622,-13.2663784
Happy,2,0.003418096,92.35241699,6.695584297,0.04891381,-13.51598167
Happy,2,0.003487823,92.95384979,6.481926441,0.05235583,-13.20737362
Happy,2,0.003799259,93.32488251,6.843425274,0.051493991,-13.54121208
Sad,0,0.309675008,0.001964419,0.099162683,0.294712931,-19.57149887
Sad,0,0.272570312,0.007464487,0.077595651,0.443311065,-20.36993217
Sad,0,0.401276827,0.006389461,0.045384113,0.350031555,-19.81076813
Sad,0,0.671954453,0.003679294,0.039268963,0.300245404,-19.85081482
Sad,0,0.970133722,0.002166647,0.039597627,0.265357316,-18.84757614
Sad,0,1.509254098,0.001067475,0.048103951,0.262993872,-19.0850296
Sad,0,1.606215954,0.000427626,0.050340515,0.234234899,-19.80145073
Sad,0,1.977101564,0.000276631,0.053740904,0.260550648,-19.52626991
Sad,0,2.332174778,0.000209841,0.054365594,0.268471122,-20.21364212
Sad,0,3.703872442,0.000149304,0.054253988,0.229256898,-19.84630775
Sad,0,4.627017021,0.000122482,0.052426144,0.231914535,-19.92783546
Sad,0,5.778954983,9.24E-05,0.050771907,0.261561781,-19.5861721
Sad,0,7.218729973,9.39E-05,0.051366657,0.281210482,-19.43674088
Sad,0,8.061826706,9.18E-05,0.049880728,0.267275691,-19.39860344
Sad,0,9.266153336,8.23E-05,0.049471382,0.257538378,-19.54923058
Sad,0,10.85957146,8.31E-05,0.049871601,0.241286144,-20.12558365
Sad,0,10.90509796,8.76E-05,0.046729464,0.222089082,-19.38732719
Sad,0,11.76146603,9.20E-05,0.047460653,0.204230309,-19.33731842
Sad,0,12.20795155,8.93E-05,0.054738931,0.21107401,-19.04429626
Sad,0,12.80062103,8.95E-05,0.06791921,0.220072031,-18.06091118
Sad,0,12.5918932,9.61E-05,0.073572114,0.196772411,-18.83177948
Sad,0,13.40526867,8.89E-05,0.07341481,0.194207028,-19.1293354
Sad,0,14.286479,8.52E-05,0.069494165,0.209639356,-18.98810005
Sad,0,14.53116894,8.06E-05,0.073364384,0.217469916,-19.09876633
Sad,0,15.365242,7.79E-05,0.076896429,0.238829419,-19.07826042
Sad,0,15.6299963,7.65E-05,0.082033619,0.34379977,-19.57522964
Sad,0,14.92041111,6.32E-05,0.080172718,0.401611805,-18.78036499
Sad,0,15.4657383,5.29E-05,0.076455541,0.445150405,-19.2253418
Sad,0,15.27370453,4.62E-05,0.078356311,0.56886518,-19.44962883
Sad,0,15.23719692,4.41E-05,0.093661293,0.732430458,-18.77755928
Sad,0,14.64551926,3.90E-05,0.100159265,1.019122839,-19.75896263
Sad,0,16.3230648,3.03E-05,0.105412498,1.48862195,-20.14902115
Sad,0,18.45093727,2.13E-05,0.103097506,2.022179127,-20.12502289
Sad,0,18.8982029,1.74E-05,0.101660043,2.836158991,-19.80510521
Sad,0,20.47896385,1.42E-05,0.097242028,3.711279392,-20.23374176
Sad,0,21.71959877,1.20E-05,0.088095911,4.601769924,-19.66534805
Sad,0,21.16640472,1.21E-05,0.094310157,7.251740932,-19.15672493
Sad,0,22.35606194,1.24E-05,0.097003199,10.27807236,-19.04969406
Sad,0,23.44028282,1.13E-05,0.105008066,12.18144989,-20.01542664
Sad,0,23.77746201,1.07E-05,0.102585673,14.49199104,-19.57010651
Sad,0,21.11808014,1.00E-05,0.097511262,16.77750778,-19.61602974
Sad,0,20.46765137,9.48E-06,0.094882563,16.81700325,-19.49073792
Sad,0,20.39093781,9.27E-06,0.101718068,18.753479,-19.2024231
Sad,0,19.14034653,7.83E-06,0.113547221,21.85476494,-19.44706917
Sad,0,18.25606155,6.81E-06,0.115605608,20.51709175,-19.6988163
Sad,0,18.03082466,6.21E-06,0.108924121,21.94231415,-19.68530083
Sad,0,17.33406448,5.33E-06,0.111679494,20.58415031,-19.39160347
Sad,0,18.99578667,4.58E-06,0.112874709,21.94277,-19.41171646
Sad,0,20.87019157,4.10E-06,0.117989309,23.0866394,-18.90593529
Sad,0,22.75065231,4.09E-06,0.120796852,22.81509399,-18.4024334
Sad,0,23.62546349,4.01E-06,0.125263035,26.44016266,-18.6704216
Sad,0,26.32705116,3.73E-06,0.133458078,28.95748711,-18.82669067
Sad,0,26.56615639,3.67E-06,0.128543898,32.51426315,-18.62544632
Sad,0,28.00791931,3.63E-06,0.132218614,34.20999527,-19.0480938
Sad,0,30.09809494,4.10E-06,0.128875867,41.51106644,-18.55304527
Sad,0,32.5562706,4.08E-06,0.136327475,47.53479385,-18.92339897
Sad,0,37.13232422,3.70E-06,0.149037004,50.72675705,-18.77721977
Sad,0,41.75988007,3.95E-06,0.16624856,53.43238831,-18.77153587
Sad,0,50.76807404,4.05E-06,0.195718095,54.12944031,-18.96129036
Sad,0,58.06627274,4.42E-06,0.220648587,55.20389557,-18.5293026
Sad,0,64.23163605,4.78E-06,0.281719178,57.62714386,-18.3324604
Sad,0,69.95323181,5.72E-06,0.362255126,52.35380936,-18.87337494
Sad,0,72.83973694,7.23E-06,0.452478558,49.72710037,-18.44698524
Sad,0,73.99623108,9.53E-06,0.542687893,38.84903336,-18.01184845
Sad,0,76.13452148,1.14E-05,0.640974343,32.58586502,-18.47502136
Sad,0,76.85322571,1.45E-05,0.772158742,25.46622086,-17.54353714
Sad,0,77.07931519,1.92E-05,0.887198448,17.35810852,-18.18465233
Sad,0,77.28839874,2.15E-05,1.215053439,12.2083168,-17.59698677
Sad,0,77.51953125,2.67E-05,1.513268948,7.044555664,-16.9027462
Sad,0,78.82608795,3.41E-05,1.973147392,4.22198534,-16.18138123
Sad,0,79.06534576,4.13E-05,2.746376276,2.4968431,-16.96751785
Sad,0,81.23171234,5.10E-05,3.723682165,1.314626575,-16.08161163
Sad,0,80.93692017,5.64E-05,4.916227818,0.843453705,-16.07688332
Sad,0,80.19638824,6.58E-05,6.404606342,0.510280728,-16.43420219
Sad,0,79.82874298,7.40E-05,7.548137188,0.326313972,-15.56175232
Sad,0,78.76136017,8.69E-05,10.34712029,0.204980016,-15.88271523
Sad,0,77.07038116,9.86E-05,11.69545841,0.149730474,-15.17990589
Sad,0,74.57372284,0.000115004,14.36298561,0.130782574,-14.86874771
Sad,0,70.87993622,0.000126132,15.74638367,0.10074649,-15.92275906
Sad,0,65.86380768,0.000132151,20.33581734,0.097241938,-15.12407112
Sad,0,60.91093826,0.000122622,24.35010719,0.084703214,-15.15328026
Sad,0,56.06905365,0.000110421,28.54096603,0.07797502,-15.21120548
Sad,0,49.33183289,0.00010112,32.40390015,0.066699401,-14.86054325
Sad,0,45.78859329,0.000100247,33.06795502,0.057203006,-14.54376125
Sad,0,40.29671097,9.56E-05,35.53144836,0.05105513,-14.49657631
Sad,0,34.36613083,7.97E-05,38.95778275,0.04808151,-15.11413288
Sad,0,27.45729065,7.66E-05,40.2453537,0.042180385,-14.53928661
Sad,0,19.80086327,7.69E-05,41.85378265,0.041714355,-14.10144615
Sad,0,15.282691,7.02E-05,42.6613121,0.039822448,-14.8279562
Sad,0,9.392354965,6.95E-05,42.95052338,0.041588292,-15.18434715
Sad,0,6.307465553,6.38E-05,42.88413239,0.042974971,-15.82433414
Sad,0,4.01089859,6.01E-05,43.2027359,0.050848648,-12.77520084
Sad,0,2.647909641,4.82E-05,45.12947083,0.059956875,-12.6667223
Fearful,1,0.276526481,2.844834089,0.325488061,0.059046105,-13.76459312
Fearful,1,0.266614914,3.007633448,0.318225831,0.037894592,-13.55423641
Fearful,1,0.252630651,3.180046082,0.303625286,0.08451049,-13.40565395
Fearful,1,0.33669439,3.48993516,0.313501328,0.072952837,-14.95565224
Fearful,1,0.36178264,4.313100815,0.378671318,0.067825481,-14.69940758
